study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJEB6456	SAMEA2580012	ERS473130	ERX491030	ERR525795	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2064982434;2058965831	736a7bcd41c255e01ba4f40743cb315c;a8c9b321d9d7848e76d35dc65ae3c6d9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525795/ERR525795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525795/ERR525795_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525795/ERR525795_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525795/ERR525795_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525795/ERR525795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525795/ERR525795_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525795/256_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525795/256_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525795	256_M	Stool sample from danish
PRJEB6456	SAMEA2580013	ERS473131	ERX491031	ERR525796	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1896516886;1861120723	3048ffe22d38ec93ee6989fc163ea374;eb2127462662915c2816a33aae56a00f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525796/ERR525796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525796/ERR525796_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525796/ERR525796_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525796/ERR525796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525796/ERR525796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525796/ERR525796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525796/258_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525796/258_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525796	258_12M	Stool sample from danish
PRJEB6456	SAMEA2580014	ERS473132	ERX491032	ERR525797	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1736308319;1707414337	3ef49369ae4064684e884bb9f1d5016d;2889401a57857d1b27c9d16fb2ef4340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525797/ERR525797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525797/ERR525797_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525797/ERR525797_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525797/ERR525797_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525797/ERR525797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525797/ERR525797_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525797/258_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525797/258_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525797	258_4M	Stool sample from spanish
PRJEB6456	SAMEA2580015	ERS473133	ERX491033	ERR525798	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1296921140;1285942485	125bb8140c925b83e46f5398e7d07cda;50289930c421b7de567b5b0688d8e933	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525798/ERR525798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525798/ERR525798_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525798/ERR525798_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525798/ERR525798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525798/ERR525798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525798/ERR525798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525798/258_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525798/258_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525798	258_B	Stool sample from spanish
PRJEB6456	SAMEA2580016	ERS473134	ERX491034	ERR525799	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1299936165;1285730896	139bc880a4c2a935184731e97c891cd5;c263d5fdd5c163b47d94990aaa8fd1fc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525799/ERR525799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525799/ERR525799_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525799/ERR525799_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525799/ERR525799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525799/ERR525799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525799/ERR525799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525799/258_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525799/258_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525799	258_M	Stool sample from spanish
PRJEB6456	SAMEA2580017	ERS473135	ERX491035	ERR525800	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1885101736;1830011633	a79d1b85fed0a24d80d855fc5cf06c76;77fff6fe6f6c34589c19ae5fc9f9a347	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525800/ERR525800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525800/ERR525800_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525800/ERR525800_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525800/ERR525800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525800/ERR525800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525800/ERR525800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525800/26_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525800/26_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525800	26_12M	Stool sample from spanish
PRJEB6456	SAMEA2580018	ERS473136	ERX491036	ERR525801	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1854725035;1864398540	8d0ba74312b499503c09dc5827a5a87d;c51e290d3bc8029285aebd8e1a1a0e6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525801/ERR525801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525801/ERR525801_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525801/ERR525801_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525801/ERR525801_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525801/ERR525801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525801/ERR525801_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525801/263_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525801/263_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525801	263_12M	Stool sample from spanish
PRJEB6456	SAMEA2580019	ERS473137	ERX491037	ERR525802	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1795071250;1794937674	613ef42231e7fc5b560b04ce269745f8;b25a334a3869ce1ebf31f73b261f96c0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525802/ERR525802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525802/ERR525802_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525802/ERR525802_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525802/ERR525802_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525802/ERR525802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525802/ERR525802_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525802/263_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525802/263_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525802	263_4M	Stool sample from spanish
PRJEB6456	SAMEA2580020	ERS473138	ERX491038	ERR525803	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1451950575;1456038172	4f99f7c1b6b04cd1fde7a0d7cbdcade2;d129a399658c7c8568c0bc7f27f0e658	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525803/ERR525803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525803/ERR525803_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525803/ERR525803_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525803/ERR525803_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525803/ERR525803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525803/ERR525803_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525803/263_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525803/263_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525803	263_B	Stool sample from spanish
PRJEB6456	SAMEA2580021	ERS473139	ERX491039	ERR525804	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2023883668;1964154569	d423e7a5f157f67070ef9b14b4c92775;227b97c4de8404cd027861711ce6be4d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525804/ERR525804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525804/ERR525804_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525804/ERR525804_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525804/ERR525804_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525804/ERR525804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525804/ERR525804_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525804/263_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525804/263_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525804	263_M	Stool sample from spanish
PRJEB6456	SAMEA2580022	ERS473140	ERX491040	ERR525805	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1450679703;1443076866	e2945974b39ae482cb0f072e6dfb5729;16b017096cebefd4fbd5f2c6e827fb95	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525805/ERR525805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525805/ERR525805_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525805/ERR525805_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525805/ERR525805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525805/ERR525805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525805/ERR525805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525805/26_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525805/26_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525805	26_4M	Stool sample from spanish
PRJEB6456	SAMEA2580023	ERS473141	ERX491041	ERR525806	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1333767631;1355669404	2537469f4956eaaa332d24998fda8571;56578118e0f9601078c93285e2b7e8e9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525806/ERR525806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525806/ERR525806_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525806/ERR525806_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525806/ERR525806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525806/ERR525806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525806/ERR525806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525806/265_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525806/265_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525806	265_12M	Stool sample from spanish
PRJEB6456	SAMEA2580024	ERS473142	ERX491042	ERR525807	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1685478676;1690222316	dfad1d7f78ace8e93df8734b298cc5b0;7bc9238a51be02cbaf20653e2ef785b5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525807/ERR525807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525807/ERR525807_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525807/ERR525807_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525807/ERR525807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525807/ERR525807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525807/ERR525807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525807/265_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525807/265_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525807	265_4M	Stool sample from spanish
PRJEB6456	SAMEA2580025	ERS473143	ERX491043	ERR525808	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1406430557;1426933772	2eba24f38ce6e5887aa0097841216346;bb31641d56090b02341a01aec4aaf386	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525808/ERR525808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525808/ERR525808_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525808/ERR525808_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525808/ERR525808_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525808/ERR525808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525808/ERR525808_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525808/265_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525808/265_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525808	265_B	Stool sample from spanish
PRJEB6456	SAMEA2580026	ERS473144	ERX491044	ERR525809	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1500446167;1521193749	6d7dc8e02f9ea60f262e573951dc2233;1d982af8a9a7f99f60823b23bb15b13f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525809/ERR525809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525809/ERR525809_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525809/ERR525809_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525809/ERR525809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525809/ERR525809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525809/ERR525809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525809/265_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525809/265_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525809	265_M	Stool sample from spanish
PRJEB6456	SAMEA2580027	ERS473145	ERX491045	ERR525810	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2179569105;2127623672	a3345307e7828f8a62374104e84745fb;8c64cb00d94e5859ee1f9b0f16ad1902	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525810/ERR525810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525810/ERR525810_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525810/ERR525810_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525810/ERR525810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525810/ERR525810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525810/ERR525810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525810/268_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525810/268_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525810	268_12M	Stool sample from spanish
PRJEB6456	SAMEA2580028	ERS473146	ERX491046	ERR525811	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2060434520;2014579064	4966656c868f46fc4f4dfd0327a3db8b;06695b0f6154b06643920ba24b4d0002	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525811/ERR525811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525811/ERR525811_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525811/ERR525811_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525811/ERR525811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525811/ERR525811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525811/ERR525811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525811/268_4M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525811/268_4M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525811	268_4M	Stool sample from spanish
PRJEB6456	SAMEA2580029	ERS473147	ERX491047	ERR525812	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1700797177;1720717186	3d892061f98d18e5546fbcfc92f3cc80;64cf1091e00018d6c4cf5a0648ded8ce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525812/ERR525812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525812/ERR525812_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525812/ERR525812_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525812/ERR525812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525812/ERR525812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525812/ERR525812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525812/268_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525812/268_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525812	268_B	Stool sample from spanish
PRJEB6456	SAMEA2580030	ERS473148	ERX491048	ERR525813	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	2350273708;2296368826	6efce444425871bec164f3f651fd81bd;7d19761d465219bc67651cd152c0cac1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525813/ERR525813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525813/ERR525813_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525813/ERR525813_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525813/ERR525813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525813/ERR525813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525813/ERR525813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525813/268_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525813/268_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525813	268_M	Stool sample from spanish
PRJEB6456	SAMEA2580031	ERS473149	ERX491049	ERR525814	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1802316784;1714264171	748546ce63cd223ad25c0978b5b34cc4;aec7c514107d85aa43006a85f39af449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525814/ERR525814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525814/ERR525814_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525814/ERR525814_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525814/ERR525814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525814/ERR525814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525814/ERR525814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525814/26_B.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525814/26_B.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525814	26_B	Stool sample from spanish
PRJEB6456	SAMEA2580032	ERS473150	ERX491050	ERR525815	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1759957338;1715852142	b88a746d64e895adf7932e88dd2613ee;930c1defa8f1d62a9f30ce931e5367b4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525815/ERR525815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525815/ERR525815_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525815/ERR525815_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525815/ERR525815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525815/ERR525815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525815/ERR525815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525815/26_M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525815/26_M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525815	26_M	Stool sample from spanish
PRJEB6456	SAMEA2580033	ERS473151	ERX491051	ERR525816	408170	human gut metagenome	ena-STUDY-BGI-04-06-2014-09:30:47:422-666	1839138407;1785995075	47af7ab9abd44877df8a7ad4394a90f1;755f1e68bd5b96c4247c14d54f720a89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525816/ERR525816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525816/ERR525816_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525816/ERR525816_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR525/ERR525816/ERR525816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525816/ERR525816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR525/ERR525816/ERR525816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525816/272_12M.rmAda.hq.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR525/ERR525816/272_12M.rmAda.hq.rmHost.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR525/ERR525816	272_12M	Stool sample from spanish
