,Blautia obeum,Dorea sp CAG 317,Dorea longicatena,Blautia wexlerae,Blautia sp CAG 257,Roseburia faecis,Dorea formicigenerans,Roseburia hominis,Ruminococcus gnavus,Gemmiger formicilis,Ruminococcus torques,Alistipes shahii,Eubacterium hallii,Coprococcus comes,Coprococcus catus,Roseburia sp CAG 309,Eubacterium ramulus,Roseburia sp CAG 471,Eubacterium eligens,Dialister invisus,Roseburia intestinalis,Bacteroides dorei,Alistipes putredinis,Alistipes finegoldii,Ruminococcus bromii,Eubacterium sp CAG 38,Clostridium sp CAG 58,Anaerostipes hadrus,Roseburia inulinivorans,Eubacterium ventriosum,Clostridium sp CAG 167,Bacteroides ovatus,Bacteroides caccae,Alistipes indistinctus,Eisenbergiella tayi,Ruminococcus lactaris,Lactobacillus rogosae,Bacteroides fragilis,Bacteroides vulgatus,Bacteroides eggerthii,Bacteroides uniformis,Bacteroides stercoris,Oscillibacter sp 57 20,Lachnospira pectinoschiza,Ruminococcus bicirculans,Flavonifractor plautii,Bacteroides salyersiae,Clostridium bolteae,Bacteroides finegoldii,Streptococcus salivarius,Eggerthella lenta,Coprobacter fastidiosus,Bacteroides intestinalis,Butyricimonas virosa,Oscillibacter sp CAG 241,Bacteroides massiliensis,Bacteroides xylanisolvens,Streptococcus thermophilus,Odoribacter splanchnicus,Streptococcus parasanguinis,Parabacteroides merdae,Turicimonas muris,Eisenbergiella massiliensis,Bacteroides cellulosilyticus,Bacteroides thetaiotaomicron,Paraprevotella xylaniphila,Barnesiella intestinihominis,Agathobaculum butyriciproducens,Butyricimonas synergistica,Parabacteroides distasonis,Faecalibacterium prausnitzii,Parabacteroides goldsteinii,Gordonibacter pamelaeae,[Collinsella] massiliensis,Collinsella stercoris,Clostridium leptum,Enterorhabdus caecimuris,Escherichia coli,Holdemania filiformis,Monoglobus pectinilyticus,Ruthenibacterium lactatiformans,Asaccharobacter celatus,Eubacterium siraeum,Fusicatenibacter saccharivorans,Eubacterium rectale,Collinsella aerofaciens,Collinsella intestinalis,Adlercreutzia equolifaciens,Akkermansia muciniphila,Anaeromassilibacillus sp An250,Bifidobacterium longum,Bilophila wadsworthia,Lawsonibacter asaccharolyticus,Intestinimonas butyriciproducens,Bifidobacterium adolescentis,Clostridium spiroforme,Parasutterella excrementihominis,Phascolarctobacterium faecium,Firmicutes bacterium CAG 94,Firmicutes bacterium CAG 95,Firmicutes bacterium CAG 83,Firmicutes bacterium CAG 110,Firmicutes bacterium CAG 145,Proteobacteria bacterium CAG 139,SampNum,WeekNum,Participant_ID
122893_s3,0.0059132,0.0008412,0,0.0007533,0,0.0185564,0.0028211,0.0098011,0,0.000196,0.0082426,0.000751,0.0040875,0.0007586,0,0,0,3.45e-05,0.050018,0,0.0179307,0.0552886,0.0359813,0.0001381,0.0192101,0,0.0011892,0.0085747,0.0112776,0.0005336,0,0.0545187,0.0211667,0,0,0.0085362,0,0.0003252,0.0078025,0,0.0285002,0.0470988,0,0.0247854,0.0223765,0.0033706,0,0.0005628,0.0094055,5e-06,0.0012458,0,0,0,0,0,0,0,0,0,0.0200178,0.0006698,0,0.0011357,0.0084046,0,0.014403,0.0048447,0,0.007245,0.0482524,3.94e-05,0.0001246,0,0,0.0040185,0,0,0,0.0006539,0.0001131,0.000511,0,0.0281685,0.1854121,0.0033684,1.19e-05,0.0004337,0.0155945,0,0.0048313,0,0.0012693,0.0039916,0,0.0002191,0.0077392,0.0043652,0,0,0,0,0.0038317,0.0115628,3,2,122893
122893_s4,0.0041139,0.0006387,0,0.0009667,0,0.0130896,0.0026011,0.0034738,0,0.0001168,0.0020831,0.00095,0.0043944,0.0009072,0,0,0,8e-06,0.0346268,0,0.010605,0.0880703,0.0340744,0.0001173,0.0132417,0,0.0008405,0.0050672,0.008528,0.0005163,0,0.0500131,0.024946,0,0,0.0051529,0,0.0005156,0.0126882,0,0.0400898,0.0543989,0,0.0148359,0.0146564,0.004163,0,0.0006018,0.0080192,0,0.0004637,0,0,0,0,0,0,0,0,0,0.0154355,0.0010696,0,0.0006964,0.0128708,0,0.0126283,0.002766,0,0.0060111,0.0411759,0,9.26e-05,0,0,0.0233922,0,0,0,0.0001593,3.17e-05,0.0009788,0,0.0326886,0.1948043,0.0021895,0,0.0006739,0.0175639,0,0.0147909,0,0.0009422,0.003686,0,0.0001358,0.0085669,0.0027624,0,0,0,0,0.0010197,0.0198481,4,2,122893
122933_s1,0.0004127,0.0009163,0.0125858,0.0007503,0.0002239,0.0174193,0.0022805,0,0,0.0001377,0.0042137,0.0022875,0.0040908,0.0042486,0,0,0.0006527,7.21e-05,0,0,0,0.0211148,0.0521841,0,0,0.0082549,0.0024497,0.00303,0.009271,0.0002299,0,0,0.0081379,0.0022705,0.0005964,0,0,0.0015979,0.1495053,0,0.1590298,0.0555016,0,0,0,0.0004847,0,0.0004046,0.0012684,0.000274,0,0.0013851,0.0215392,0.0079276,0.0017941,0,0.0066052,0.0018092,0.0031454,0.0001465,0.0067359,0.00039,5.69e-05,0,0,0,0,0.0014358,0,0.0221761,0.0112713,0,0.0005085,0,0.0008806,0.00316,0,0.010487,0,0,0.003333,0.0001532,0.0003518,0.0359989,0.2088828,0.00498,0.0002874,5.94e-05,0.0477617,0,0,0,0.0003433,0,0,0,0.0087911,0.0013852,0,0,0.0005845,0,0,0.0003683,1,1,122933
122933_s2,0.0017594,0.001671,0.0107357,0.0010355,0.0007061,0.0184108,0.0048461,0,0,0.0005397,0.0065639,0.0034758,0.004746,0.0066914,0,0,0.000641,4.76e-05,0,0,0,0.0175343,0.075399,0,0,0.0075865,0.0031915,0.0034653,0.0113143,0.0015301,0,0,0.0048039,0.0040696,0.000174,0,0,0.001222,0.1204552,0,0.0660249,0.0425147,0,0,0,0.0009414,0,0.0001338,0.0010385,0.0036703,0.0001113,0.0003911,0.0386381,0.0077072,0.0028159,0,0.0062238,0.0040768,0.0025535,0.0021097,0.0082828,0.0008587,0.000278,0,0,0,0,0.0015874,0,0.0295569,0.0118088,0,0.0024324,7.97e-05,0.0022561,0.0005206,0,0.0129563,0,0,0.0031115,0.0008987,0.0003768,0.0258998,0.1938724,0.0173991,0.000931,0.0003586,0.090464,0,0,0,0.0009806,0,0,0,0.0140711,0.0011303,0,0,0.0004927,0,0,0.0008636,2,1,122933
122933_s3,0.0007669,0,0.0093679,0.0003032,0,0.0005196,0.0010449,0,0,3.3e-05,0.0036243,0.0023356,0.0015129,0.0018844,0,0,0.0010869,0,0,0,0,0.0243993,0.0396601,0,0,0.002176,0.0021202,0.0023001,0.0024803,0.0006885,0,0,0.0160695,0.0007024,0.0017168,0,0,0.0027956,0.1018965,0,0.2021213,0.0308087,0,0,0,0.0018329,0,0.0001495,0.0107749,4.46e-05,0,0.0024626,0.0339439,0.0056303,0.0027287,0,0.0120123,0.0014215,0.0076574,0.0003284,0.0089936,0.0007075,0,0,0,0,0,0.0009926,0,0.0379955,0.0370489,0,0,0,0,0.0004215,0,0.0251495,0,0,0.0007872,5.87e-05,0.0130484,0.0038806,0.2438549,0.0017008,0,0,0.0228273,0,0,0,0.0002821,0,0,0,0.0108318,0.0003516,0,0,0.0001396,0,0,0.0004688,3,2,122933
122933_s4,0.0007049,0.0001127,0.0107364,0.0025352,0,0.0003288,0.0037429,0,0,0,0.0069103,0.0027003,0.0080093,0.0050068,0,0,0.0006298,2.24e-05,0,0,0,0.0292005,0.0710773,0,0,0.0051511,0.0043749,0.0084428,0.0049043,0.0010111,0,0,0.0148687,0.001726,0.0006824,0,0,0.001959,0.1420124,0,0.2448993,0.0589591,0,0,0,0.0045648,0,5.19e-05,0.0060817,0,0,0.0014687,0.0655675,0.0067159,0.0006015,0,0.0103354,0.0005762,0.0051505,0.0001635,0.0043913,0.0012762,0,0,0,0,0,0.0026275,6.5e-06,0.0251943,0.0125979,0,0.0003858,0,0.0005607,0.0002718,0,0.0125201,0,0,0.0012257,0.0004604,0.0013494,0.0068282,0.0591788,0.0139464,0.0002299,0.0001884,0.042372,0,0,0,0.0003295,5.87e-05,0,0,0.0228118,0.0004969,0,0,6.26e-05,0,0,0.0013702,4,2,122933
122949_s1,0.0002832,0,0.0061842,0.0032644,0,0.0134292,0.0024061,0.0004923,0,0.001032,0.0045428,0.0013501,0.0014868,0.0045236,0.0016828,0,0.0007514,0,0.0504777,0,0.0024186,0.0716296,0.1225555,0.013938,0.0039974,0.0005956,0.0005045,0.0028971,0.0002153,0,0,0.0155213,0.0134369,0.0005007,0,0.0108049,0,0,0.0654665,0,0.0109336,0.0657211,0,0.0017332,0.0108586,0.0001333,0.0075215,0,0,0.0002003,0,0.0002204,0,0,0.0001835,0.0499432,0.0001523,0,0.0072505,0,0,0.000123,0,0.0028646,0,0,0.0230952,0.0027738,0,0.0168669,0.1750271,0,0.0001645,0,3.03e-05,0.000127,0,0,0,0,8.93e-05,0.0003274,0,0.0421789,0.0361635,0.005406,1.29e-05,0.0002389,0,0,0.0005703,0.0001069,6.72e-05,0,0.0395693,0,0.0016619,0,0,0,0.0080078,0.01476,0,0.0014916,1,1,122949
122949_s2,0,0,0.0228497,0.0057725,0,0.0167536,0.0009499,0,0,0,0.0018408,0,0,0.0046317,0,0,0.0014598,0,0.060582,0,0.0005447,0.0693936,0.0858427,0.0092701,0.0058477,0,0,0.0046712,0,0,0,0.0098907,0.0138391,0,0,0.0222104,0,0,0.0615525,0,0.0140992,0.0998305,0,0,0.0189122,0,0.00919,0,0,0,0,0,0,0,0,0.0449177,0,0,0.0034083,0,0,0,0,0.0054414,0,0,0.0166509,0.0002259,0,0.0149456,0.1893196,0,0,0,0,0,0,0,0,0,0,0,0,0.0544613,0.0213017,0.0063116,0,0,0,0,0,0,0,0,0.0229404,0,0,0,0,0,0.0066512,0.0355432,0,0,2,1,122949
122949_s3,0,0,0.0088391,0.0064685,0,0.0744908,0.0019717,0.0008657,0,0.0019365,0.0013606,0.0042251,0.002143,0.0057718,0.0007611,0,0.0018174,0,0.0497447,0,0.000762,0.0109241,0.100443,0.0152386,0.0084457,0.0046318,0.0014523,0.0024869,0.0013121,0,0,0.0134786,0.0247433,0.0006789,0,0.0148962,0,0,0.0524494,0,0.0160649,0.0212258,0,0,0.0237621,0.0006967,0.0191541,0,0,0.0002338,0.0004983,0.0013195,0,1.98e-05,0.0002883,0.0106385,0.0004108,0,0.0097476,0,0,0.000127,0,0.0152741,0,0,0.0192994,0.0027495,0,0.0164428,0.2040003,0,0.0001969,0,0,6.46e-05,0,0,0,0,0.0008745,0.0005706,0,0.0641974,0.021382,0.0019007,0,0.0004165,0,0.0001203,0.0005558,0.000362,0.0004097,0,0.0082716,0,0.0027622,0,0,0,0.0115101,0.0366725,6.14e-05,0.0017919,3,2,122949
122949_s4,0,0,0.0116672,0.0054926,0,0.0959117,0.0031933,0.0001754,0,0.0021253,0.0032182,0.0033396,0.0035463,0.0057774,0.0018692,0,0.0036982,0,0.0890068,0,0.0013029,0.0094461,0.0638443,0.0103575,0.01681,0.0088765,0.0021149,0.0036529,0.0004416,0.0002614,0,0.0068462,0.0181701,0.000305,0,0.0262986,0,0,0.0481692,0,0.0182227,0.0262128,0,0,0.0452915,0.0005176,0.0128131,0,0,0.0001436,0.0002761,0.0024456,0,0,0.0001413,0.0155078,4.67e-05,0,0.0093898,0,0,0.0002195,0,0.018177,0,0,0.0107099,0.0014924,0,0.0117921,0.1249156,0,0.0005845,0,0,0.0003295,1.39e-05,0,0.0002901,0,0.0002772,0.0012353,0,0.0574821,0.0492871,0.0030385,0,0.0009579,0,0.0001048,0.0011414,0.000446,0.0004211,5.75e-05,0.0125062,0,0.0031515,0,0,2.78e-05,0.0155715,0.0253834,0.0004002,0.0024647,4,2,122949
123834_s1,0.0056115,0,0.0206573,0.0029083,0.0003752,0,0.0072384,0.0008078,9.84e-05,0.0059699,0.0090781,0.0007978,0.0120555,0.0032705,0.001098,0,0.0014223,4.47e-05,0.0190872,0,0.021253,0.0189488,0.0089426,0.0014574,0,0,0.0004624,0.0205992,0.0004509,0.0061386,0,8.62e-05,0.0023169,0.0007118,0,0,0,0,0.0183829,0,0.0946463,0.123413,0,0.006354,0,0,0.0027712,0,0.0009895,0.0002998,0,0.0012507,0,2.17e-05,0.0001746,0.0040834,0.0012801,0.0303315,0.0018727,1.73e-05,0.0005337,0,0,0.0042528,0.0031994,0,0.0029359,0.0006297,0,0.0059858,0.0530506,0,0.001055,0,0.000167,0.0003203,0,0,0,0,7.21e-05,0.0002829,0,0.0299437,0.0320372,0.0130388,0.0001609,0.0002881,0.0134846,0,0.0479126,0.0002014,0.0006257,7.13e-05,0,0,0,0.0036007,0,0,0.0031133,0,0.0001568,0,1,1,123834
123834_s2,0.0018741,0,0.017505,0.0007525,0,0,0.0053498,0.0008143,8.36e-05,0.0043759,0.0047916,0.0018805,0.0042995,0.0031016,0.000372,0,0.0003524,1.09e-05,0.0295451,0,0.0117046,0.0214904,0.0159375,0.0038313,0,0,0.0007786,0.0046101,0.0009713,0.0141694,0,0.0003021,0.0048151,0.002692,0,0.0001361,8.52e-05,0,0.0445589,0,0.1406868,0.1946912,0,0.0107551,0,0.0001782,0.007504,0,0.0054658,0,0,0.0016011,0,0.0001353,0.0008192,0.0062492,0.0054255,0.0070052,0.0022236,0,0.0024512,0,0,0.0045453,0.0096972,3.73e-05,0.0053603,0.0011417,4e-05,0.0132991,0.0501103,0,0.0011568,5.37e-05,0.0001667,0.0003064,1.04e-05,0,0,0,0.0005239,0.0005431,0.0050037,0.0116592,0.0441168,0.0143216,0.0001331,0.0007584,0.0150782,0,0.0144156,0.0006895,0.0017788,0.0001603,0,0,0,0.0038733,0,0,0.0102646,0,6e-04,0.000122,2,1,123834
123834_s3,0.0038082,0,0.0254612,0.0015578,0,0,0.0077048,0.0029019,0.0002128,0.0095436,0.017484,0.0006387,0.0163593,0.0055054,0.0013428,0,0.0008361,4.48e-05,0.0344701,0,0.0135425,0.0238991,0.0275502,0.0025805,0,0,0.0020316,0.0065597,0.0117527,0.0086034,0,0,0.0046106,0.0038138,0,0,0,0,0.0632788,0,0.2535887,0.086226,0,0.0181822,0,0.0002711,0.0100561,3.1e-05,0.0023435,0.0001572,0,0.0011663,0,0.0001308,0.0008999,0.0074124,0.0033217,0.0228031,0.0037763,0,0.0028578,0,0,0.0060258,0.0082695,0,0.0056296,0.0010891,2.52e-05,0.0058545,0.0287388,0,0.0022459,4.66e-05,0.0002958,0.000106,3.48e-05,0,2.76e-05,0,0.000347,0.0004605,0,0.0106856,0.0272548,0.0172287,0.0006883,0.0004462,0.0443222,0,0.0054356,0.0005842,0.0071456,2.89e-05,0,0,0,0.0048326,0,0,0.0008165,0,0.0002117,0,3,2,123834
123834_s4,0.000128,0,0.002419,3.1e-05,0,0,0.0020742,0.0011913,0,0.0006129,0.0022041,0.0005552,0.0001011,0.0005902,0.0002818,0,0.0004066,0,0.0323099,0,0.0103795,0.0350763,0.0118391,1.38e-05,0,0,0.000664,0.0002196,0.0145031,0.0095016,0,1.11e-05,0.0118935,0.000219,0,0,0,0,0.1107437,0,0.1182802,0.2178866,0,0.0559262,0,0.0002306,0.008322,1.21e-05,0.0068865,0,0,0.0017816,0,0.0002318,6.8e-06,0.0113344,0.005744,0,0.0040516,0,0.0095071,1.27e-05,0,0.0024661,0.0185591,0,0.0039271,6.2e-06,4.33e-05,0.0113468,0.0174634,0,0,0,1.97e-05,0,0,0,0,0,2.53e-05,0,0,0.0029572,0.0228844,0.0033879,6.27e-05,0,0.0106433,0,0.0004447,0.0003799,0.0011127,1.12e-05,0,0,0,0.0039123,0,0,0.000105,0,0,0,4,2,123834
124306_s3,0.0209417,0.000888,0.0106909,0.00683,0,0.0014769,0.0023669,0.0044724,7.2e-05,0.0011537,0.0026209,0,0.0043546,0.0025449,0,1.22e-05,0.0021469,0.0068548,0.0065242,0,0.035994,0.185078,0,0.003784,0,0.02822,0.0055553,0.0133235,0.001925,0.0014885,0,0.0207153,0,0,0,0,0,0.0009309,0.0030526,0,0.3307838,0,0.011086,0.0010658,0.0412558,0.0002581,0,0,0,0.0003127,0,0,0,0,0.0016088,0,0,0,0,0.0001084,0,0.0007557,0,0,2.82e-05,0,0.0419446,0.0017284,0,0.0189028,0.0220008,0,0.0003276,8.1e-06,7.94e-05,0,1.76e-05,0,0,0.0048377,0.0005534,0.0008395,0,0.0139544,0.0823888,0.0075283,0.0001016,0.0009276,0.0057103,0,0,0,0.000504,0,0,0.0001209,0.0224701,0.0014679,0,0,0.0017075,0.0035069,0.0017584,0.0014505,3,2,124306
124306_s4,0.0482927,0.0010973,0.0196951,0.0133838,0,0.0003167,0.0023158,0.0027196,0,0.0029358,0.0044052,0,0.0215128,0.0051016,0.0002758,0.0010701,0.0032956,0.0072028,0.0045515,0,0.0127198,0.1393986,0,0.0028762,0,0.0076303,0.0080987,0.0214765,0.0001751,0.0023123,0,0.0219991,0,0,0,0,0,0,0,0,0.2978005,0,0.015943,0,0.1211978,0.0002086,0,0,0,0.0010966,0.0002072,0,0,0,0.0011455,0,0,0.0001906,0,0.0009382,0,7.4e-05,0,0,1.26e-05,0,0.0460787,0.0037151,0,0.0135017,0.0264728,0,0.0011901,4.5e-05,0.0001053,3.96e-05,0,0,0,0.020685,0.000714,0.0008742,0,0.0011252,0.0288656,0.0234915,0,0.0007148,0.0088466,0,0,0,0.0007325,0,0,2.09e-05,0.0146123,0.0021171,0,0,0.0011467,0.0018797,0.0039477,0.0010023,4,2,124306
125165_s1,0.0086394,0,0.0318769,0.0019693,9.26e-05,0.0227009,0.0025758,0.0004334,0,0.0002612,0.0182225,0.0027355,0,0.0256012,0,0,0.0037959,0,0.0521653,0,0.0091878,0.0015608,0.0598967,0.0007895,0,0.0008617,0.0008979,0.0253331,0.0125712,0,0,0.0030873,0.0152385,0.0002014,0,0,0,0,0.0894488,0.0267847,0.0911792,0.0020833,0.0102657,0,0.0093006,0,0,0,0,0.0004401,0,0.0001577,0,0.0014985,0.007954,0.0071957,0.0004696,0,0.0032029,5.98e-05,0.0184309,0,0,0,0,0.0034763,0.0364182,0.0017078,0,0.008505,0.0927083,0,0,0.0001619,0.0001527,0.0064845,8.99e-05,0,0.0003642,0,0.0015672,0.0041883,0.0015997,0.0827272,0.0214783,0.0268709,0,0.003046,0.0004343,0.0002883,0,0,0.0062715,0,0,0,0.0003136,0,0.0011103,0.0001672,0.001304,0.0071149,0.001989,0,1,1,125165
125165_s2,0.0076794,0,0.0297198,0.0014765,0.0006475,0.002506,0.0026589,0.0004119,2.96e-05,0.0003329,0.0298508,0.0026383,0,0.0256848,0,0,0.0054393,0,0.070706,0,0.0066475,0.0010108,0.0597887,0.000796,0,0.0009279,0.0008436,0.0209415,0.0020485,0,0,0.0022899,0.0157374,0.0001302,0,0,0,0,0.0587507,0.0197556,0.0950108,6.95e-05,0.0023977,0,0.0053218,0,0,0,0,0.0001682,0,0.0002215,0,0.0015282,0.0072118,0.0008145,0.0001416,0,0.0044048,6.29e-05,0.0134272,0,0,0,0,0.0026655,0.033897,0.0010346,3.07e-05,0.0110679,0.1611972,0,0.0003096,0.0002004,0.000143,0.0050091,0.0001006,0,0.0006996,0,0.0016091,0.003556,0.0023261,0.0860428,0.0176829,0.0207496,0,0.0028331,0,0.0002127,0,0,0.0114681,0,0,0,0.000205,0,0.001173,0.0002142,0.0015368,0.0047154,0.0018098,0,2,1,125165
125421_s1,0.0027521,0,0.0061463,0.0006662,6.6e-06,0.0663188,0.0037426,0.0034904,0,0.0006876,0.0020026,0.0009454,0.005099,0.0020555,0.0010506,0,0.0001138,0,0.1145769,0.0016513,0,0.0032567,0.0233925,5.73e-05,0,0,0.0005342,0.0046481,0.0001088,0,0,0.0005307,0.0110801,0,0,0,0,0,0.0500065,0.0026087,0.0675799,0,0.0017406,0,0,0.000228,0,0,0.0032765,0.0004454,0,0,0,0,0.0020171,0.0061061,0.0090204,0.008547,0.0033808,0.0007455,0.0020052,0.0003727,0,0.0017623,0,0.0098432,0.0050691,0.0046703,0,0,0.0709843,0,0.0001008,0,7e-06,0,0,0,0,0.0029417,5.56e-05,0.0004756,0,0.0055407,0.1158748,0.0033136,0,0.0006219,0,0,0.0135613,0.0001434,0.0002641,0,0,0,0.0055895,0,0,0,0.0004558,0,7.47e-05,0.0029956,1,1,125421
125421_s2,0.0024918,0,0.0058942,0.0004856,0,0.0441418,0.0027358,0.0079611,0,0.0005618,0.001193,0.0008938,0.0047995,0.0017894,0.0009531,0,0.0001463,0,0.0637337,0.0032341,0,0.0045082,0.0244745,0.0001466,0,0,0.0006259,0.0039532,0.0003012,0,0,0.0010654,0.0137996,0,0,0,0,0,0.0609522,0.0032383,0.1133619,0,0.0036776,0,0,0.0003494,0,0,0.0035329,5.96e-05,0,0,0,0,0.0023675,0.0058337,0.0122394,0.0113113,0.0026711,0.0003516,0.0021789,0.0001815,0,0.0062456,0,0.0087789,0.0049973,0.0035925,0,0,0.0717454,0,3.74e-05,0,0,0,0,0,3.72e-05,0.0074613,0.0002414,0.0006125,0,0.0090036,0.1099984,0.0025375,0,0.0007714,0,0,0.0093733,0.0001401,0.0001122,0,0,0,0.0055334,0,0,0,0.0001875,0,0.0001482,0.002574,2,1,125421
125421_s3,0.0001885,0,0.0004286,0,0,0.0003506,9.9e-05,0.0030007,0,0.0004603,0.0004991,0.0012884,0.0003672,0.0016559,0.0001477,0,0,0,0.051235,5.6e-05,0,0.006002,0.0332154,0.0002852,0,0,0.0004769,0.00061,0.0005204,0,0,7.84e-05,0.0108198,0,0,0,0,0,0.0499835,0.005946,0.131634,0,0.001294,0.011012,0,3.66e-05,0,0,0.0014373,0,0,0,0,0,0.0083206,0.0045595,0.0156866,0.0004319,0.002323,1.01e-05,0.0034651,0.0001128,0,0.0057779,6.45e-05,0.0089091,0.0078983,0.0010177,0,0,0.0530863,0,0,0,0,0,0,0.0020332,0,0.0012547,0.0001407,0.0001218,0.0004181,0.0029639,0.1389474,0.0018832,0,8.2e-05,0,0,0.0015443,0.0002137,0.0002396,0,9.54e-05,3.95e-05,0.0059151,0,0,0,0.0015334,0,0.0001381,0.0013271,3,2,125421
125421_s4,0.0004578,0,0.0009281,0.0001082,0,0.0001507,0.0011789,0.0051351,0,0.0008093,0.000471,0.0023176,0.0015175,0.0044861,0.0001878,0,0,0,0.0426432,0,0,0.006167,0.0481593,0.0004353,0,0,4.55e-05,0.0018732,0.0004953,0,0,0.000137,0.0090092,0,0,0,0,0,0.0313257,0.0101082,0.1874325,0,0.0008313,0.0113176,0,0,0,0,0.0009831,0,0,0,0,0,0.003603,0.0029302,0.0135293,0.0002691,0.0038866,0,0.0041398,0.0004903,0,0.0080837,3.56e-05,0.0087751,0.0196216,0.0025797,0,0,0.0555408,0,0,0,0,0,0,0.0018713,0,0.0065276,1.63e-05,0.0005165,0.0001586,0.0032543,0.1122623,0.0040221,0,0.0005895,0,0,0.0013393,0.0004892,4.43e-05,0,0,0,0.0117451,0,0,0,0.0003923,0,0.0001011,0.0026801,4,2,125421
126566_s1,0,0.0183155,7.54e-05,0.0118125,0.0037304,0.0683813,0.0019163,0.006458,0.0068486,0,0,0,0.0199965,0,0,0.0001469,0,0,0.0074588,0,0,0,0,0.0064727,0.0285253,0.0059827,0.0023356,0.0190154,0.0433519,0,0,0,0,0.0026826,0,0.0014074,0,0.0224084,0.1752384,0,0.0706923,0,0,0,0.0184458,0.0003637,0,0.001445,0,0,0.0008771,0,0,0.0003176,0,0,0,5.1e-05,0.0132796,0,0,0.0002318,0.00082,0,0.07243,0,0,0.000248,0.0024076,0.0662901,0.0658354,0,0.0015055,0,0,0.0198207,5.76e-05,0,0,0.0029966,0.0042539,0.001705,0,0.0409748,0,0,0,0.0017403,0,0,0,0,0.0025041,0.0001991,0,0,0.0027178,0.0044983,0,0,0,0,0.0004655,0.0322,1,1,126566
126566_s2,0.0001387,0.0127803,0.0001005,0,0.0026808,0.1125313,0.0018699,0.0153771,0.0051442,0,0,3e-05,0.0206189,0,0,0.0002922,0,0,0.0097453,0,0,0,0,0.0047396,0.0417949,0.0056829,0.0058196,0.0092294,0.0389325,0,0,0,0,0.0016954,0.0001304,0.0012732,0,0.0373504,0.1424387,0,0.0987426,0,0,0,0.0064825,0.0001626,0,0.0040415,0,0,0.001292,0,0,0.0004131,0,0,0,0.0013989,0.0121007,0,0,0.0004928,0.0027696,0,0.0903579,0,0,0.0002368,0.0019321,0.082625,0.0257573,0,0.0009656,8.7e-06,0,0.0028109,7.14e-05,0,0,0.0024394,0.0012182,0.0012742,0,0.0357195,0,0,0,0.0024328,3.56e-05,6.22e-05,0,0,0.0048647,0.0002942,0,0,0.001565,0.0075737,0,0,0,0,0.0004108,0.0222479,2,1,126566
126566_s3,0.0009345,0.0055161,0,0,0.000586,0.0562317,0.0008748,0.0125701,0.0075128,0,0,0,0.0078434,0,0,2.86e-05,0,2.42e-05,0.0248315,0,0,0,0,0.0010324,0.0142386,0.012124,0.0046835,0.0092979,0.0470721,0,0,0,0,0.0006393,4.42e-05,0.0053346,0,0.0333552,0.2044535,0,0.1155384,0,0,0,0.0109402,0.0019677,0,0.0025428,0,0,0.0002266,0,0,0.000211,0,0,0,0,0.0084975,0,0,0.0004009,0.0007195,0,0.1766489,0,0,0.0001202,0.0018457,0.0907857,0.0122437,0,0.0001443,2.73e-05,0,0.0031543,0,0,0,0.0028136,0.0009468,0.0005165,0,0.0117229,0.0003818,0,0,0.0004066,0,0,0,0,0.0028084,0.0001556,0,0,0.0017936,0.0049,0,0,0,0,0.0009136,0.020223,3,2,126566
126566_s4,0.0012084,0.009722,0.0005227,0,0.0006692,0.1831323,0.0011088,0.0090238,0.0051074,0,0,5.6e-06,0.0114634,0,0,8.76e-05,0,5.48e-05,0.028809,0,0,0,0,0.0008402,0.0170134,0.0160621,0.0052933,0.0179293,0.048355,0,0,0,0,0.0006209,0,0.0051825,0,0.0157151,0.1466291,0,0.0997499,0,0,0,0.0043056,0.0024425,0,0.0029632,0,0,0.0006343,0,0,0.0001391,0,0,0,0,0.0051016,0,0,0.0003513,0.000726,0,0.1233504,0,0,0.0004149,0.0006081,0.0743996,0.0213753,0,0.0003009,4.01e-05,0,0.004177,7.73e-05,5.9e-05,0,0.0030194,0.0011257,0.0020276,0,0.030479,0,0,0,0.0018467,0,0,0,0,0.0046822,0.0001246,0,0,0.001811,0.0068368,0,0,0,0,0.0007267,0.0248145,4,2,126566
126785_s3,0.0201941,0,0.015848,0.0069267,0,0.0155285,0.0026493,0.002047,0,0.0016767,0.0266275,0.0046003,0.0078511,0.0140322,0.0018604,0,0.0003662,3.56e-05,0.0325332,0,0,0,0.0770331,0.001414,0.1142229,0.0014845,0.0002994,0.0093389,0.0246226,0,0.004358,0.0028385,0.0039641,0,0,0,0,0,0.1215603,0.0068002,0.0661331,0.0248233,0.0035597,0,0.0126416,0,0.0023334,0,0.0114908,0,0,0.0010282,0,0.0013825,0,0.0142105,0.0009578,0.0082532,0.0064698,0,0.0214365,0,0,0,0.0054327,0.0011979,0.0044495,0.001215,0.0031204,0.0067334,0.0547537,0,0,0,9.2e-05,0.0002026,0,0,0,0,0.00072,0.0002901,0.0814195,0.0467529,0.0086265,0.0184098,0,0,0,0,0.0041044,0,0,0,0.0060881,0.0006963,0,0.00288,0,0,0.0015421,4.35e-05,0,0,3,2,126785
