"","Blautia_wexlerae","Blautia_coccoides","Roseburia_faecis","Blautia_sp_CAG_257","Roseburia_hominis","Dorea_formicigenerans","Ruminococcus_gnavus","Tyzzerella_nexilis","Eubacterium_hallii","Gemella_haemolysans","Eubacterium_eligens","Hungatella_hathewayi","Dialister_invisus","Anaerostipes_hadrus","Ruminococcus_bromii","Clostridium_neonatale","Eubacterium_sp_CAG_38","Staphylococcus_aureus","Alistipes_putredinis","Anaerostipes_caccae","Alistipes_finegoldii","Bacteroides_dorei","Roseburia_intestinalis","Roseburia_inulinivorans","Streptococcus_mitis","Bacteroides_ovatus","Staphylococcus_hominis","Enterococcus_faecalis","Rothia_mucilaginosa","Bacteroides_caccae","Streptococcus_sp_A12","Sellimonas_intestinalis","Veillonella_dispar","Veillonella_rogosae","Streptococcus_peroris","Veillonella_parvula","Veillonella_atypica","Bacteroides_fragilis","Bacteroides_vulgatus","Bacteroides_uniformis","Streptococcus_infantis","Lachnospira_pectinoschiza","Lactobacillus_rhamnosus","Staphylococcus_epidermidis","Veillonella_infantium","Staphylococcus_lugdunensis","Clostridium_bolteae_CAG_59","Flavonifractor_plautii","Clostridium_bolteae","Streptococcus_salivarius","Eggerthella_lenta","Clostridium_citroniae","Anaerotruncus_colihominis","Veillonella_sp_T11011_6","Clostridium_aldenense","Clostridium_symbiosum","Enorma_massiliensis","Streptococcus_thermophilus","Streptococcus_parasanguinis","Parabacteroides_merdae","Bacteroides_thetaiotaomicron","Clostridioides_difficile","Clostridium_clostridioforme","Faecalibacterium_prausnitzii","Sutterella_parvirubra","Varibaculum_cambriense","Agathobaculum_butyriciproducens","Parabacteroides_distasonis","Gordonibacter_pamelaeae","_Collinsella__massiliensis","Haemophilus_sputorum","Collinsella_stercoris","Escherichia_coli","Actinomyces_sp_HMSC035G02","Ruthenibacterium_lactatiformans","Collinsella_aerofaciens","Eubacterium_rectale","Fusicatenibacter_saccharivorans","Intestinibacter_bartlettii","Actinomyces_odontolyticus","Klebsiella_oxytoca","Collinsella_intestinalis","Haemophilus_sp_HMSC71H05","Turicibacter_sanguinis","Akkermansia_muciniphila","Actinomyces_sp_oral_taxon_181","Aeriscardovia_aeriphila","Bifidobacterium_breve","Haemophilus_parainfluenzae","Bilophila_wadsworthia","Bifidobacterium_longum","Bifidobacterium_bifidum","Bifidobacterium_dentium","Coprobacillus_cateniformis","Clostridium_innocuum","Intestinimonas_butyriciproducens","Bifidobacterium_adolescentis","Parasutterella_excrementihominis","Clostridium_spiroforme","Bifidobacterium_pseudocatenulatum","Erysipelatoclostridium_ramosum","Group"
"179_4M",0.0097719,0,0,0,0,0,0.016946,0,0,0,0,0,0,0,0,0,0,0,0.0464094,0.0010899,0,0,0,0,6.1e-05,0,0,0,0,0,0,0,0,0,2.85e-05,0.0010835,0,0,0.1203722,0.0207688,0,0,0.0056318,0,0,0,0,0,0,0.0002841,0,0,0,0,0,0,5.62e-05,0,4.82e-05,0.1655149,0,0,0.0096328,0,0,0,0,0.2412314,0.0002195,6.51e-05,0,0.0004115,0.0038781,0.0001597,0,0.0484294,0,0,0.000329,1.71e-05,0,1.57e-05,0,0,0,1.07e-05,2.46e-05,0.0430627,0,0,0.0234867,0,0,0,0,0,0.0341234,0,0,0,0,"4M"
"179_B",0,0,0,0,0,0,0,0,0,0.0001218,0,0,0,0,0,0,0,0.0001608,0,0,0,0,0,0,0.0001942,0,0.0003861,0.0350101,0.0001351,0,0,0,0,0,0,0,0,0,0.5242158,7.17e-05,0,0,0,0.017316,0,0.0001432,0,0,0,0.001711,0,0,0,0,0,0,0,0,0.0003566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"180_12M",0,0,0,0,0,0,0.0517389,0,0,0,0,0.0078851,0.0054867,0,0,0.0001823,0,0,0,0.002102,0,0,0,0,0,0,0,6.2e-06,4.19e-05,0,0,0.0017061,0.0002783,0.0001714,0,0.0018708,0.0001125,0.8132587,0,0,0,0,0,0,0.0001361,0,0.0008107,0.002285,0.0029947,8.61e-05,0.0014132,0,0,8.6e-06,6.03e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002385,0,0.000177,0,0.0078084,0,0,0,0,0,0.0017525,0,0,0,0,0,0.0174707,0,0,0,0.0020371,0,0,0,0.0040599,0,0.0135475,0,0,0,0.0007641,0,0.0025944,"12M"
"180_4M",0,0,0,0,0,0,0.0343875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01e-05,0,0,0.004285,0,0,0,0,0,0,1.07e-05,0,0,0.800091,0,0,0,0,0.0511665,0,0,0,0,0.0328665,0,0,0,0,0,0,0,0,0,0,1.62e-05,0,0,0,0.003073,0,0,0,0,0,0,0,0,0,0.0595396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5e-06,0,0,0,0,0,0.001942,0,0,0,0,0,0.0093872,"4M"
"180_B",0,0,0,0,0,0,0,0,0,0.0030775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217746,0,0.0968266,0.0016096,0.0014521,0,0,0,0.0048645,0,0,0.0052437,0,0.0018784,0,0,0.0018737,0,0,0.2525882,0.0014542,0.0050146,0,0,0,0.0510254,0,0,0,0,0,0,0,0,0.1398053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004606,0,0,0,0,0,0.2446445,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"18_12M",0.0761809,9.5e-06,0,0.0005208,0,0.0007809,0.0120188,0.0012384,0,0,0,0.000695,0,0.0776795,0,0,0.0041976,0,0.1077512,0,0.0243366,0.0040564,0.0761645,0,0,0.0953218,0,0,0,0,0,0.0004859,4.29e-05,0.0001549,0,0.0001727,0,0,0.0872739,0.0957351,0,0,0,0,0.0001309,0,0,0.0012693,0.0011617,0.0004168,0.0006986,0.000207,0.0004842,0,4.12e-05,0.0025144,0,0.0034512,0,0,0,0,0.0001631,0.0373366,0,0,0,0.0550125,9.05e-05,0,1.26e-05,0.0001686,0.0024142,0,0.0005251,0.0058461,0,0,0.0025165,0,0,0.0026188,0.0011953,0,0,0,0,0.0003278,0.0003719,0,0.0055471,0,0,8.36e-05,0.0004403,0.0050049,0,0,0,0.0083804,0.0019251,"12M"
"181_4M",0,0,0,0,0,0,0.1426813,0,0,0,0,0,0,0,0,0.0003228,0,0.0020113,0,0,0,0,0,0,0.0004305,0,0,0,4.02e-05,0,0,0.0034713,0,0,0,0.0012072,0,0,0,1.55e-05,6.95e-05,0,0,0.0001705,0,0,0.000121,0.0046144,0.0037213,0.002653,0.0014298,0.0001605,0,0,0,0,7.65e-05,0,0.0012652,0,0,0,0,0,0,0,0,0,0.0002649,0.0001781,0,0.0007763,0.042218,0.0002131,0.0067501,0.0658815,0,0,0,0.0005679,0,8.41e-05,0,0,0,0,0.0001048,0,0,0,0.2194046,0.3676664,0.0042622,0,0.0020046,0,0,0,0,0.1038403,0.0043379,"4M"
"181_B",0,0,0,0,0,0,0.0002387,0,0,0,0,4.73e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017814,0,0,0,0,0,0,0,0,0,0,0,0.0005494,0,0,0,0,0,8.85e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173313,0,0,0.0001053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004808,0.0007207,0.0078503,0,0,0,0,0,0,0.0002056,0.3027304,"B"
"184_12M",0.0018884,0,0.0234014,2.36e-05,0.0005883,0.0006394,8.04e-05,0,0.0008058,0,0.0110234,0,3.08e-05,0.0107697,0.015445,0,0.0001745,0,0.0203883,0,0.0185963,0,0.0945482,0.0001692,0,0.0008074,0,0,0,0.0114434,0,0.0004927,0.0002163,0,0,7.36e-05,0.0001052,0.0005221,0.0865636,0.0321488,0,0.0150851,0,0,0.0001726,0,0,0.0006754,9.34e-05,7.16e-05,0,0,0,1.18e-05,0,3.98e-05,4.8e-06,0,0.0002234,0.0113202,0.0072673,0,0.0003135,0.0429084,0.0007161,0,0,0.0027676,0,1.56e-05,0,4.63e-05,2.39e-05,0,2.88e-05,0.0027692,0.3311856,0.0063007,0.000172,0,0,2.94e-05,0.0001279,0,0.0013009,0,0,0,0.000345,0,0.000998,0.0026153,0,0,6.13e-05,0.0002826,0.0002445,0,0,0,5.48e-05,"12M"
"184_4M",0.0012713,0,0,0,0,0.001211,0.001146,0,0,0,0,0,0,0,0,0,0,0.0002242,0.0135634,0,0.0061193,0,3.7e-05,0,0.0004035,0.0011264,0,0,0,0.0009856,0,0.0181569,0,0,0.00025,0.0168658,0,0,0.0908387,0.0170721,0,0,0.0007208,0,0,0,0.0011346,0.0007096,0.001604,0.000148,0.0012547,0,0,0,0,0,0.0005476,0,0.0006755,0.0154798,0,0,0,0,0,8.9e-05,0,0.0192921,0.000205,0.0009854,0,0.0039032,0.0010156,0,0.0013038,0.0238206,0.0002793,0,0,0,0.0001185,0.0025617,0,0,0.0252102,0,0.0001337,0,0,0,0.5192306,0.1850988,0,0,0,0,0,0,0,0,0.0017181,"4M"
"184_B",0,0,0,0,0,0,0,0,0,0.0004633,0,0,0,0,0,0,0,0,0,0,0,0,4.59e-05,0,4.69e-05,0.078387,0.0001448,0,0.0006138,0,0,0,0,0,0,0,0,0,0.2005733,0.0325717,1.03e-05,0,0,0.0021586,0,0,5.04e-05,0.022,8.19e-05,0.0016038,0,0,0,0,0,0,0,0,0.0007586,0,0,0,0,0,0,0,0,0.5167776,0,0,0,0,0,0,0,0,0.0001593,0,0,0,0.0502018,0,0,0,0,0,3.17e-05,0,0,0,0.0472639,0.0251805,0,0,0,0,0.0205253,0,0,0,0,"B"
"18_4M",0,0,0,0,0,0,0.0198786,9.93e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002943,0,0,0,0,0,0,6.8e-06,0.0002771,0,0.0362475,0.0041717,0.0338964,0,0,0,0,0,0,0,0,0,0.0002609,0.0176363,0,0,0,0.0002379,0,0.000151,0.0001433,3.8e-06,0,0,0,0,0,0,0.0008966,0,0.0406115,0.0027658,0.0002826,0,0.0004976,0.0261791,1.01e-05,0,0.0683212,0,0,0,0,0.0002174,0.0001161,0,0,0,0,5.41e-05,0,0,0,0.0259511,0.425709,0,0,0,0,0,0,0,0.2208352,0,"4M"
"195_12M",0.1985198,0,0.0001202,0.0005559,0,0,0.0804368,0.0300104,0,0,0,0.0407941,0,0.1383978,0,0,0.1023353,0,0,0.0001487,0,0.0005938,0,0,1.84e-05,0,0,4.7e-06,0,0,0,0,0.0183833,0.0006714,0,0.0024038,0.0433072,0,0.0006062,1.56e-05,0,0,0,0,0.0106746,0,0.0136498,0.0119331,0.0221128,0.0014294,0,0.0056215,0,0.001652,0.0049321,0.0118883,0,0,3.55e-05,0,0,0,0,1.7e-05,0,0,0,0,0.0012033,0,0,0,0.0126648,0,0,0,0,0,0.0135831,0,0,0,0.0012238,0.001212,0,0,5e-05,0.0566903,0.001651,0,0.039126,0,0,0.0025804,0.0189292,0,0.0500604,0,0,0,0.0082201,"12M"
"195_4M",7.65e-05,5.43e-05,6.99e-05,0,0,0,5.9e-06,0,0,0,0,0,0,3.04e-05,0,0,0,0,0,0,0.0028124,0.1121572,0,0,0.0002686,0.0142198,0,0.0455811,4.7e-06,0.0764111,0,0,3.76e-05,0,0.0002615,0.0107437,0,0,0.1071637,0.0056303,1.16e-05,0,0.0570702,5.64e-05,0,0,0,0,0,0.001107,0,0,0,0,0,0,4.85e-05,0,0.0014889,0.0685559,0,0,0,5.67e-05,0,0,0,0.0128462,0,0.0001767,0,0.0011578,0,0,0,0.0849379,0,0,0,0,0.0003725,0.0002253,0,0,0,0.0007018,0.0003283,0.0023701,0,0.0017685,0.3369092,0,0,0,0,0,0,0,0,0.0001354,0,"4M"
"195_B",2.1e-06,0,5.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5135285,0,0,0,0.0023149,0,0.0058148,0,0.0023356,0,0,0,0,0,0,0,0,0.4321773,0.0010977,0,0,0,0.0007781,0,0.0007396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010971,0,0,0,0,0,0,0,0.0190801,0,6.8e-06,0,7.51e-05,0,0,0,0.0055386,0,0,2.14e-05,0,0,1.99e-05,0,0,0,0,0,0,0,8.2e-06,0.0021758,0,0,0,0,0,0.0001114,0,0,0.0029113,0,"B"
"1_B",0,0,0,0,0,0,0.0220798,0,0,0,0,0,0,0,0,0,0,6.36e-05,0,0,0,0.1154293,0,0,6.47e-05,0.0458385,0,0.000858,1.52e-05,0,0,0,0,0,0,0,0,0.5513937,0,0.0129078,7.14e-05,0,0,0.0021435,0,0,0,0,0,0,0,0,0,0,0,0,1.33e-05,0,0,0.0005257,0,0,0,0,0,0,0,0.0104617,0,9.7e-05,0,0.0004801,0.0536955,0,0,0.0463718,0,0,0,0,0,0.0001726,0,0,0,0,3.07e-05,0,0,0.0004407,0.050999,0,0,0,0.0001499,0,0.0133909,0,0,0.0663215,0.0006842,"B"
"201_12M",0.0033673,0,0,0,0.000173,0,0.0014118,0,0.0002242,0,0.0008087,0,0,0.0012257,0,0,0,0,0,0,0,0,0,0,0,0.1293946,0,0.0001335,0,0,0,0.0053337,0,0,0,0.0128744,0.0192514,0.1887001,7.28e-05,0.1539075,0,0,0,0,0,0,0,0.0021485,0,0,0.0003214,0,0,0,0,0,0,0,0,0.0657814,0.0580419,0.0003516,0,0.0058884,0.0001692,0,0.001162,0.1517254,2.37e-05,0,0,5.16e-05,0.0018418,0,0.0009904,0.0041355,0,1.74e-05,0.0003191,0,0,9.5e-06,0,0,0,0,4.62e-05,0,0,0,0.0793137,0.0353177,0,0,0.0009079,0,0.0068418,0,0,0.0052612,0.0006612,"12M"
"201_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021897,5.75e-05,0,0,0.0274599,0,0,0.000106,0,0,8.99e-05,4.3e-06,0.0986649,0.2126439,0.0051084,0,0,0,0.003496,0,0,0,0,0,0.0031745,2.62e-05,0,0,0,0,0,4.19e-05,0,1.56e-05,0.0040868,0.0221817,0,0,7.9e-06,0,0,0,0.2585981,1.7e-05,7.03e-05,0,0.0004738,3.06e-05,0,0,0.0263507,0,0,0,0,0,5.58e-05,0,0,0,0,1.8e-05,0,0,0.0015644,0.0004876,0.0004907,0,0,0,0,0,0,0,0,0,"B"
"203_12M",0.052078,0,0,0,0,0,0.0132661,0.0001172,0,0,0,0.001163,0,0.0024484,0,0,0,0,0,0,0,0,0,0,0,0.5627034,0,0,0,0,0,0,0,2.14e-05,0,0.0009974,0.0008807,0.0992215,0.2067599,0,0,0,0,0,0.000304,0,0,0.0029563,0.0009434,0.0003844,0.0008597,0,0.0002771,0,0,0.0049123,0,0,0,0,0,0.0005763,0.0009428,0.026373,0,0,0,0,0.0001205,0,0,0,0.0028414,0,0,0,0,0,0,0,4.74e-05,0,0.0005449,0,0,0,0,0.0006472,0.0009439,0,0.0052804,0,0,0.0002103,0.0017732,0,0,0,0,0,0.0013853,"12M"
"203_4M",0,0,0,0,0,0,0,0,0,7.83e-05,0,0,0,0,0,0.0005631,0,0.0004827,0,0,0,0,0,0,0.0064724,0.0001904,0,0.0823997,0.0003108,0,0,0,0.0002906,0,7.95e-05,2.29e-05,0.0805031,0,0,0,0,0,0,0.0002372,0.0001227,0,0,0,0,0,0,0,0,6.76e-05,0,0,0,0,0.0011168,0,0,0,0,0,0,0,0,0,0.0005842,0,0,0,0.0038616,9.2e-06,0,0,0,0,0,0.0001214,0.0002189,0,0,0,0,0.001668,0.0007252,0,0.0022556,0,0.812977,0,0,0,0,0,0,0,0,0,0,"4M"
"203_B",0,0,0,0,0,0,0,0,0,0.0005613,0,0,0,0,0,0,0,0.0002385,0,0,0,0,0,0,0.0001609,0.0001603,0,0.538094,0.0002414,0,0,0,0,0,0,0,0,0,0,0,0.0028668,0,0,0.0067371,0,0.0431911,0,0,0,0.0002633,0,0,0,0,0,0,0,0,0.0001112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086696,0,0,0,0.0052597,0,0,0,0,0,0,"B"
"224_12M",0,0,0,0,0,0,0.0425303,6.34e-05,0,0,0,0.0034198,0,0.0046009,3.2e-06,0,0,0,0,0.0001156,1.16e-05,0.4784172,0,0,0,0.2040187,0,0.0002396,5.04e-05,0,0,0.0012552,0.0473064,0.0013394,0,0.0181624,0.0015827,0,0,0,0,0,0,0,0.0292809,0,0,0.0006609,0.002462,0.0064163,0.000132,0,0,0.0019423,0,0,0,0,0,0,0,0,0.0002048,0.0080848,0,0,0,0.0810699,0,0,0,0,0.0050533,0,0,0,0,0,0,0,0.000221,0,0.005033,0,0.0162342,0,0,0,0.0040857,0.0006856,5.55e-05,4.81e-05,0,0,0.0019408,0,0,0,0,0,0.0319273,"12M"
"224_4M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5236322,0,0,1.88e-05,0.0284252,0,0.1717405,0.0001367,0,0,0,0,0,0,0.014182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004621,0,0,0,0,0,0,0,2.97e-05,0,0,0,0,0,0,0,0,0.0367362,0.0006784,0,0,0,0.0096637,0,0,0,0,0,0,4e-06,3.28e-05,0,0.000131,0,0,0,0.0001087,0.0120254,4.53e-05,0.0018955,0.1688766,0.0190984,0,0,0,0,0,0,0,0,0,"4M"
"224_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004775,0,0,4.2e-06,0.0129034,0.0009191,0,0,0,0,0,0.000605,0,0,0,0.0014662,0,0,0,0,0,0,0.0044652,0.0004417,0,0,0,0,0.0007098,0.0003801,0,0,6.68e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3671025,2.93e-05,0,0,0,0.6104108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"229_12M",0.0001709,0.0009622,0,0,0,0,0.2301649,0.0004631,4.2e-05,6.07e-05,0,0,3.2e-05,4.8e-06,0,0.0021328,0,0,5.89e-05,0.0137108,4.16e-05,0.0001819,0,0,0.0008724,0,0,0,0.0002518,0.1159797,0,0,0.0001629,0.000267,0,9.7e-06,0.0098814,2.73e-05,0.3867136,0,0.000109,0,0,0,0.0001051,0,0.0059706,0.0032177,0.0020514,0.0012203,0,0,0,5.42e-05,3e-06,0.001327,0,0.0046274,0.0004349,0,0,0.001033,0,6.91e-05,0,0,0.0035901,0,0,0,0.0001068,0,0.0004026,0,0,1.67e-05,0.000149,1.5e-06,0.0456184,0,0,0,0,0.0124993,0,0,0,0.0024638,0.0052763,0,0.0257814,0.00012,0,0.0076577,0.0192274,0,1.81e-05,0.0214435,0,0,0.0145702,"12M"
"229_4M",0,0,0,0,0,0,0.0001777,0,0,0,0,0,0,0,0,0,0,0.0005335,0,0,0,7.89e-05,0,0,0.0037178,0,0,0.0265763,0.0017347,0.0001491,0,0,0.0080466,0,0.0003455,0.0430761,0.0001643,0,0.0003324,0,0.0002515,0,0,0.0005142,0.0020487,0,0,0,0,0.0017086,0,0,0,0.0001324,0,0,0,0,0.0017774,0,0,0,0,3.88e-05,0,1.3e-06,0,0,0,0,0,0,0.1052418,0.0002813,0,0,7.9e-06,0,1.31e-05,0.0005178,0,0,0,0,0,0,0.0003761,0.4779975,0.0005647,0,0.0631687,0.2370488,0.0014541,0,0,0,0.0081431,0,0,0,0,"4M"
"238_12M",0.0250847,0,0,0,0,0,0.1909135,0,0,0,0,0,0,0,0,0.0043659,0,0,0,0.0043815,0,0,0,0,0,0.2057837,0,0,0.0001759,0,0,0,0.0089019,9.87e-05,0,0.0001445,0.0298469,0.2628238,0,0.1368645,0,0.030756,0,0,0.0041774,0,0,0.0002759,0.0113991,0.0018642,0.002918,0,0,0.0006414,0,0.0082103,0,0,0.0002472,0,0,0.0035651,0,0.0425033,0,0,0,0,0.0002841,0,0,0,0.0009136,0,0,0,0,0,0.0018651,0,0,0,0.0002998,0,0,0,0,0,0.0006433,0,3.79e-05,0,0,0,7.05e-05,0,0,0,0,0.002303,0.0029106,"12M"
"238_4M",0,0,0,0,0,0,0,0,0,2.89e-05,0,0,0,0,0,0,0,0.0004825,0,0,0,0,0,0,0.0014589,0,0,0,0.0002042,0,0,0,0.0011699,0,0.0001568,0.1348305,0.0007917,7.16e-05,0,0,0.0001824,0,0,2.39e-05,0.0003912,0,0,0,0,0,0,0,0,4.71e-05,0,0,0,0,0.0020633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005796,0,0,0,0,0,0.0006609,0,0,0,0,0,0,0.0002432,0.3755465,0.000182,0,0.383738,0,0,0,0,0,0,0,0,0,0,"4M"
"238_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9206234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4e-06,0,0,2.54e-05,0,0,0,0,0,0,0,0,0,0,"B"
"240_12M",0.0635771,0,0.105103,7.67e-05,0,0.0028916,0.0367174,0,0,0,0,0,0,0.0342744,0,7.35e-05,0.0152466,0,0,0,0,0,0,0,0,0.0624324,0,0,0.0005507,0,0.0001344,0,0,0,0,0.0085324,5.52e-05,0,0.24113,0,0,0,0,0,0,0,0,0.0119282,0,0.0002406,0.0011436,0,0,0,0,0,0,0,4.23e-05,0,0,0,0.0001616,0.0418703,0.0009421,0,0,0.0893092,0.0002192,0.0001012,0,0.0020069,0.0015948,0,0,0,0,0.0201578,0.0002133,0,0,0.0682298,0.0010895,0,0,0,0.0001132,0,0.000962,0,0.0185076,0,0,2.37e-05,0.003919,0,0.1247637,0,0,0,0.0020433,"12M"
"240_4M",0,0,0,0,0,0,0.1015242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001407,0.0185718,0,0,2.22e-05,0,0,0,9.28e-05,0,6.15e-05,0,3.83e-05,0,0.4697977,0,0,0,0,0,0,0,0,0,0,0.0003175,0.0004927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906545,2.86e-05,0,0,0.0001047,0.1254626,0,0,0,0,0,0,0.0001123,0,0.004867,0,0,0,0,1.75e-05,0,0,0,0.1776543,0,0,0,0,0,0.0065859,0,0,0,0.0034019,"4M"
"240_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9924861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"241_12M",0.0412659,0,0,0.0040603,0.0025961,0,0.0130434,0.0001464,0.0035744,0,0,0,0,0,0.0217857,0,0.0038682,0,0.0001137,4.64e-05,0,0,0,0.0255433,0,0.0070733,0,0,0,0,0,0.0009511,0,0,0,0,0,0,0.1091186,0.0153602,0,0,0,0,0,0,0,0.0011421,0.0021936,7.83e-05,0.0012718,0,0.0001586,0,0,0.0006531,2.19e-05,0,0,0.0264028,0.0106075,8.6e-06,0.0013516,0,6.15e-05,0,0,0.03903,0.0001837,6.48e-05,0,0.0006864,0.0001579,0,0,0.0083664,0.0544993,0,0.0002283,0,0,0.0029526,0,0,0.0067408,0,0,0,0,0,0.000593,0,7.55e-05,0.0001592,0.0009679,0.0020747,0,0,0,0,0.001429,"12M"
"241_4M",0,0,0,0,0,0,0.2095902,0,0,0.0001245,0,0,0,0,0,0,0,0,3.8e-06,0,0,0,0,0,5.75e-05,0.0244519,0,0.0021813,5.92e-05,0,0,0,0,0,3.81e-05,0.0034305,0,0,0.0732482,0.0014187,7.58e-05,0,0,0,0,0,7.48e-05,0.0006321,0.0025112,0.0016706,0.0094349,0,0,0,0,0,0,7.75e-05,0.0004616,0.1913236,0.0327273,0,0,0,0,0,0,0.0140344,0.0012611,9.7e-06,0,0,4.12e-05,0,0,0,2.11e-05,0,0,1.17e-05,0,0,0,0,0.0849605,1.68e-05,9.5e-06,0,0,0,0,0,0.2496951,0,0.0032582,0,0,0,0,0,0.0341859,"4M"
"244_12M",0.0293679,0,0,0.0016032,0,0,0.0148512,0,0,0,0.0013413,0,0,0.0059223,0,0,0,0,0.0014137,2.24e-05,0,0.0318106,0.0024392,0.0074362,0,0.0216173,0,0,0,0.0219238,0,0.0005849,0,0,0,6e-05,0,0,0.1276092,0.032639,0,0.0011574,0,0,0,0,0,0.0032225,0,0.0015709,0,0,0.0005838,0,0,7.95e-05,3.79e-05,0.0077851,0.000529,0.0414236,0.0012588,0,0.0001884,0.0337764,0.0008252,0,0,0.0170168,0,0.0002297,0,0.0008572,0.00108,0,0.0012996,0.0257991,0,0,0.0038197,0,0,0.0021902,4.3e-05,0,5.3e-05,0,0,0,5e-05,0,0.0129729,0,0,0,0.0010054,0.0002089,0.0054698,0,0.0006638,0,0,"12M"
"244_4M",0,0,0,0,0,0,0.0353615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088846,0,0,0.0003419,0.0129823,0,0,5.72e-05,0.0362568,0,0.008031,0,0,0.000266,0.0152227,0,0,0.0344831,0.0067377,3.94e-05,0,0,0,0,0,0,0.0018844,0,0.0010997,0,0,0,0,0,0,9.85e-05,0.000103,3.25e-05,0.0224148,0.0075252,0,0.003899,0,0,0,0,0.0042993,1.4e-06,0.0003277,0,0.0022441,0.0051282,0.0003832,0,0.1837271,0,0,0,0.0001285,0,0.0003732,0,0,0,0.0001052,0.0001913,0,0,0,0.4441343,0.0663505,0,0,0.0672238,0,0.0182767,0,0,0,0,"4M"
"244_B",0,0,0,0,0,0,0.088446,0,0,0.0002403,0,0,0,0,0,0,0,0,0,0,0,0.1156756,0,0,0.0002724,0,0,0.0266582,0.0001905,1.72e-05,0,0,0,0,0,0,0,0,0.3004332,0.000345,0,0,0,0,0,0,0,0,0,3.1e-05,0,0,0,0,0,0,0,0,6.39e-05,0.0084413,0.0015485,0,0,0,0,0,0,0.0481202,0,0,0,0,0.3534147,0,0,1.03e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349897,0.01406,0,0,0.0031658,0,7.9e-06,0,0,0,0,"B"
"256_12M",0,0,0,0,0,0,0.0771435,0,0,0,0,0.0110113,0,0,0.0003911,0.0006052,0,0,1.83e-05,0,0,0,0,0,3.23e-05,0,0,0,3.86e-05,0,0,0.0091943,0.0007943,0.0009337,0,0.0807766,0.0064799,0,5.65e-05,7.39e-05,0,0,0,0,0.0011197,0,0,0.0034236,0.0100722,0.0140927,9.77e-05,0,0.000718,4.78e-05,0,0,0,1.61e-05,0.0006588,0,0,0.0006429,0,0.1014796,0,0,0,0,0,0,0.0043263,0,0.0024246,0,0.0005528,0,0,0,0.0034221,0,0.0005426,0,0,0,0,0,0,0.054011,0.0084249,0,0.0162486,0.0029791,0.0062243,0.0007885,0.0578259,0,0,0.0425444,0,0,0.0096594,"12M"
